Bathrooms,Bedrooms,Beds,LocationName,NumGuests,NumReviews,Price,Rating,latitude,longitude,zipcode,pop2016,pop2010,pop2000,cost_living_index (US avg. = 100),land_area (sq.mi.),water_area (sq.mi.),pop_density (people per mile),number of males,number of females,prop taxes paid 2016,median taxes (with mortgage,median taxes (no mortgage),median house value,median houshold income,median monthly owner costs (with mortgage),median monthly owner costs (no mortgage),median gross rent,median asking price for vacant for-sale home/condo,unemployment (%),Number of Homes,Count of Abnb,Density of Abnb (%),Average Abnb Price (by zipcode),Average NumReviews (by zipcode),Average Rating (by zipcode),Average Number of Bathrooms (by zipcode),Average Number of Bedrooms (by zipcode),Average Number of Beds (by zipcode),Average Number of Guests (by zipcode)
1.0,1.0,1.0,New York,2.0,12.0,45.0,Y,40.84662,-73.93436,10033,60204.0,53926.0,58259,159.5,0.6,0.0,99586,30476,29727,0.6,2017.0,3582.0,521324.0,48272.0,1682.0,506.0,1338.0,1153123.0,10.5,24081.6,31,0.12872898800000002,72.63333333,35.7037037,4.729166667,1.032258065,1.096774194,1.419354839,1.419354839
1.0,1.0,1.0,Brooklyn,2.0,83.0,100.0,Y,40.71483,-73.96216,11211,101397.0,90117.0,85089,169.6,2.3,0.1,44118,50855,50543,0.2,1244.0,3293.0,935985.0,61645.0,2972.0,845.0,1571.0,826418.0,4.5,40558.8,183,0.451196781,110.0454545,59.97619048,4.832298137,1.049450549,1.236686391,1.491803279,1.491803279
3.0,1.0,1.0,Seattle,2.0,39.0,75.0,N,47.55625,-122.35498,98126,22956.0,20698.0,18906,115.3,3.1,0.7,7466,11044,11912,0.8,3560.0,3678.0,434862.0,73746.0,2176.0,660.0,1204.0,457695.0,3.7,9182.4,48,0.522739153,103.0833333,44.23684211,4.851351351,1.326086957,1.586956522,1.770833333,1.770833333
1.0,2.0,2.0,Decatur,5.0,20.0,139.0,Y,33.772459999999995,-84.30733000000002,30317,13265.0,11970.0,13981,97.1,3.5,0.0,3777,6269,6995,1.0,3071.0,1381.0,272815.0,63369.0,1736.0,457.0,950.0,245386.0,6.1,5306.0,75,1.4134941580000002,104.7432432,35.28070175,4.944444444,1.459459459,1.845070423,2.146666667,2.146666667
1.0,1.0,2.0,Philadelphia,4.0,4.0,30.0,Y,39.93034,-75.16037,19147,39405.0,36228.0,32680,107.6,1.4,0.2,27998,19454,19950,0.7,2742.0,2077.0,357612.0,72963.0,1694.0,497.0,1255.0,395531.0,4.8,15762.0,257,1.6305037430000002,96.79377432,58.45045045,4.830188679,1.245136187,1.545454545,1.984435798,1.984435798
1.0,2.0,2.0,San Diego,6.0,11.0,169.0,N,32.722159999999995,-117.12827,92102,45420.0,43267.0,47123,134.1,4.6,0.0,9799,23694,21727,0.5,2211.0,852.0,360942.0,44226.0,1667.0,326.0,1141.0,401922.0,5.7,18168.0,438,2.410832232,130.0616114,53.12188366,4.85,1.240825688,1.6868686869999998,2.342465753,2.342465753
1.0,2.0,2.0,Del Mar,5.0,3.0,190.0,Y,32.93318,-117.24905,92014,13861.0,13154.0,13938,144.5,6.0,0.5,2299,7007,6853,0.5,8593.0,6180.0,1502926.0,125897.0,3987.0,926.0,2143.0,462825.0,2.1,5544.4,141,2.5431065580000003,284.9224806000001,22.77941176,4.891666667,1.879432624,2.313432836,2.929078014,2.929078014
2.0,2.0,3.0,San Diego,6.0,3.0,150.0,N,32.77531,-117.25299,92109,49124.0,45787.0,46071,140.7,7.6,4.3,6463,25677,23447,0.5,5213.0,2847.0,821665.0,74047.0,2760.0,593.0,1532.0,984403.0,4.0,19649.6,656,3.3384903510000004,145.5595054,50.12617702,4.80990099,1.296183206,1.653130288,2.295731707,2.295731707
1.0,1.0,1.0,Miami,1.0,32.0,44.0,N,25.86415,-80.18145,33141,40307.0,35249.0,36545,111.9,2.3,5.2,17406,21026,19282,0.9,2806.0,2559.0,313216.0,43893.0,2038.0,804.0,1163.0,2404330.0,4.6,16122.8,829,5.141786786,123.4434889,25.91878981,4.756521739,1.507246377,1.754226268,2.530193237,2.530193237
1.0,2.0,2.0,San Francisco,4.0,172.0,135.0,Y,37.72685,-122.43739,94112,85205.0,79407.0,73104,154.3,3.4,0.0,25329,42842,42363,0.6,5161.0,2870.0,733316.0,80598.0,2636.0,471.0,1647.0,833728.0,6.5,34082.0,478,1.402499853,120.5779221,55.12594458,4.797979798,1.219088937,1.515625,1.896995708,1.896995708
